timestamp,status,benchmark,case,selector,output_or_reason
2025-11-12 06:18:32,FAIL,heu-sol-therm-011,case-2,id=1,EXIT 255
2025-11-12 06:18:32,FAIL,ieu-met-fast-006,case-2,id=1,EXIT 255
2025-11-12 06:18:32,FAIL,heu-sol-therm-011,case-1,id=1,EXIT 255
2025-11-12 06:18:32,FAIL,heu-sol-therm-011,case-2,id=3,EXIT 255
2025-11-12 06:18:32,FAIL,heu-sol-therm-011,case-1,id=3,EXIT 255
2025-11-12 06:18:33,FAIL,heu-met-fast-022,case-2,id=1,EXIT 255
2025-11-12 06:18:36,FAIL,pu-met-fast-024,case-1,id=1,EXIT 255
2025-11-12 06:18:39,FAIL,pu-met-fast-024,case-1,id=2,EXIT 255
2025-11-12 06:18:42,FAIL,spec-met-fast-003,case-1,id=3,EXIT 255
2025-11-12 06:18:44,FAIL,pu-met-fast-024,case-1,id=3,EXIT 255
2025-11-12 06:18:45,FAIL,pu-met-fast-024,case-1,id=4,EXIT 255
2025-11-12 06:18:48,FAIL,pu-met-fast-024,case-1,id=5,EXIT 255
2025-11-12 06:18:49,FAIL,pu-met-fast-024,case-1,id=6,EXIT 255
2025-11-12 06:18:53,FAIL,pu-met-fast-024,case-2,id=1,EXIT 255
2025-11-12 06:18:53,FAIL,pu-met-fast-024,case-1,id=7,EXIT 255
2025-11-12 06:18:58,FAIL,pu-met-fast-024,case-2,id=2,EXIT 255
2025-11-12 06:18:58,FAIL,pu-met-fast-026,case-1,id=1,EXIT 255
2025-11-12 06:19:03,FAIL,pu-met-fast-026,case-1,id=2,EXIT 255
2025-11-12 06:19:04,FAIL,pu-met-fast-026,case-1,id=3,EXIT 255
2025-11-12 06:19:08,FAIL,pu-met-fast-026,case-1,id=4,EXIT 255
2025-11-12 06:19:09,FAIL,pu-met-fast-026,case-1,id=5,EXIT 255
2025-11-12 06:19:13,FAIL,pu-met-fast-026,case-1,id=6,EXIT 255
2025-11-12 06:19:13,FAIL,pu-met-fast-026,case-1,id=7,EXIT 255
2025-11-12 06:19:18,FAIL,pu-met-fast-026,case-2,id=2,EXIT 255
2025-11-12 06:19:18,FAIL,pu-met-fast-026,case-2,id=1,EXIT 255
2025-11-12 06:19:23,FAIL,pu-met-fast-026,case-2,id=3,EXIT 255
2025-11-12 06:19:23,FAIL,heu-met-fast-029,case-1,id=1,EXIT 255
2025-11-12 06:19:28,FAIL,heu-met-fast-029,case-1,id=3,EXIT 255
2025-11-12 06:19:28,FAIL,heu-met-fast-029,case-1,id=2,EXIT 255
2025-11-12 06:19:33,FAIL,heu-met-fast-029,case-1,id=5,EXIT 255
2025-11-12 06:19:33,FAIL,heu-met-fast-029,case-1,id=4,EXIT 255
2025-11-12 06:19:36,FAIL,heu-met-fast-029,case-1,id=7,EXIT 255
2025-11-12 06:19:37,FAIL,heu-met-fast-029,case-1,id=6,EXIT 255
2025-11-12 06:19:41,FAIL,heu-met-fast-029,case-1,id=8,EXIT 255
2025-11-12 06:19:42,FAIL,heu-met-fast-029,case-1,id=9,EXIT 255
2025-11-12 06:19:47,FAIL,heu-met-fast-029,case-1,id=10,EXIT 255
2025-11-12 06:19:47,FAIL,heu-met-fast-029,case-1,id=11,EXIT 255
2025-11-12 06:19:52,FAIL,pu-sol-therm-006,case-1,id=1,EXIT 255
2025-11-12 06:19:57,FAIL,pu-sol-therm-006,case-1,id=3,EXIT 255
2025-11-12 06:20:03,FAIL,pu-sol-therm-006,case-3,id=1,EXIT 255
2025-11-12 06:20:53,SUCCESS,spec-met-fast-003,case-1,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/spec-met-fast-003/case-1/materials/mgxs/id-2/material.h5
2025-11-12 06:20:57,FAIL,pu-sol-therm-006,case-3,id=3,EXIT 255
2025-11-12 06:20:59,SUCCESS,heu-met-fast-028,case-1,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/heu-met-fast-028/case-1/materials/mgxs/id-2/material.h5
2025-11-12 06:21:00,FAIL,pu-sol-therm-006,case-2,id=1,EXIT 255
2025-11-12 06:21:01,SUCCESS,heu-met-fast-032,case-2,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/heu-met-fast-032/case-2/materials/mgxs/id-2/material.h5
2025-11-12 06:21:01,SUCCESS,heu-met-fast-032,case-4,id=2,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/heu-met-fast-032/case-4/materials/mgxs/id-2/material.h5
2025-11-12 06:21:03,FAIL,pu-sol-therm-006,case-2,id=3,EXIT 255
2025-11-12 06:21:03,SUCCESS,spec-met-fast-003,case-1,id=4,/home/rwszolek3/research/ICSBEP_OpenSn/spherical_cases/spec-met-fast-003/case-1/materials/mgxs/id-4/material.h5
